geno	day	wt	ht	til		
5	6	1226.8	13.1	2		
5	6	2052.2	13	2		
2	6	1666.7	26	1		
2	6	853.7	13	1		
5	6	1132.6	10.5	1		
2	6	1572.9	14.2	1		
5	6	2054	23.2	4		
5	6	882.5	18.5	1		
2	6	1729.7	13.5	2		
11	6	584.2	1	2		
11	6	475.7	4.2	2		
11	6	299.3	8.5	4		
11	6	1102.9	24.3	3		
11	6	1095.8	15.5	4		
2	6	2036.5	13.7	1		
2	6	1103.2	12.5	1		
11	6	420.2	15.4	2		
2	6	1330.3	11.5	3		
2	6	2002.9	18.3	3		
5	6	1362.1	24	1		
11	6	2083	19.6	4		
11	6	890.3	19.9	2		
11	6	1275.2	16	2		
2	6	1308	11.6	2		
11	6	1861.7	19.9	3		
2	6	838.2	13	2		
5	6	1026.7	19.3	2		
5	6	640.9	21	1		
5	6	404.4	9	1		
5	6	672	19.6	2		
2	6	936.7	11.9	2		
11	6	2524.8	27.9	3		
11	6	1717.3	19.6	7		
11	6	1021.5	14.6	4		
11	6	605.2	20	2		
2	6	306.9	4	1		
11	6	1918.1	22.1	3		
5	6	1126.2	12.5	3		
11	6	2823.5	14.2	4		
2	6	498.1	8.5	1		
2	6	1333	19.1	1		
5	6	2233.9	28	2		
5	6	1486.5	17.8	1		
2	6	3648.8	17	5		
5	6	1227.5	21	2		
5	6	1649.3	11.1	2		
5	6	657.9	6.9	1		
2	6	2057.6	26.4	2		
5	6	591.4	17	1		
11	6	1303	19.1	2		
2	6	1402.4	16.8	1		
11	6	1185.4	8.9	2		
2	6	546.9	10.3	1		
2	6	2439	20.9	4		
2	6	728.9	10.3	2		
5	6	551.9	18.7	1		
11	6	1421	21.4	4		
5	6	528.5	6.5	1		
2	6	1123.4	12.7	1		
5	6	982	23.1	2		
11	6	563.4	17.5	1		
2	6	1181.8	18.4	1		
2	6	2075.3	19.1	2		
5	6	1293.5	12.5	3		
5	6	811.7	15.5	1		
5	6	1494.6	26.1	1		
11	6	1226.9	20.1	1		
2	6	1684.4	17.9	3		
2	6	986.8	15.9	1		
5	6	593.2	13.1	2		
11	6	1058.7	7	4		
2	6	2199.1	13.8	3		
5	6	378.5	7.9	2		
11	6	599.7	15.3	2		
11	6	778	5.5	2		
2	6	953.8	14.4	1		
5	6	1065.4	29.1	1		
2	6	1159.2	14.2	1		
11	6	2738.1	25.7	5		
11	6	1513.3	11	4		
11	6	799.4	24.2	2		
11	6	952.3	4.2	2		
5	6	422.5	10.3	2		
2	6	3366.8	26.9	3		
5	6	997.8	19.9	2		
11	6	1429.4	10.7	4		
5	6	1317	11.4	2		
11	6	972	3.9	1		
2	6	949.1	10.4	2		
2	6	1885.6	16.1	1		
5	6	1493	19.5	2		
5	6	902.5	18.9	1		
5	6	1276	24.8	1		
2	6	1520	14.8	1		
2	6	1827.6	11.6	1		
5	6	1165.8	20.1	2		
2	6	1037.1	5.3	1		
11	6	1914.1	14.6	6		
11	6	1384.6	25.3	2		
11	6	1250	21.6	2		
11	6	848.9	8.7	3		
11	6	856.4	15.3	3		
11	6	1690.9	20.4	3		
11	6	799.1	4.9	2		
11	6	655.2	5	2		
11	6	499.2	10.9	1		
11	6	1146.6	0	0		
11	6	742.1	12.8	1		
11	6	1489.1	24.6	1		
11	6	803.1	24.9	2		
11	6	616.3	22	1		
11	6	180.4	0	0		
11	6	1263.8	13.8	4		
11	6	645.3	9.2	3		
11	6	890.7	12.7	4		
11	6	556.8	5.6	3		
11	6	1798.2	16.2	5		
11	6	374.4	7.5	2		
11	6	623.1	6.6	3		
11	6	503.7	9.1	2		
11	6	1040.9	22.2	1		
11	6	1635.1	13.5	4		
11	6	829.2	7.7	2		
11	6	1186.1	7.2	3		
5	6	1842.4	19	3		
5	6	889.5	10.6	3		
5	6	730.6	17.9	2		
5	6	306	16.7	1		
5	6	1320.1	25.5	2		
5	6	1227.6	19.7	2		
5	6	279.9	12	1		
5	6	636.6	11.1	1		
5	6	620.7	13	1		
11	32	NaN	20.7	3		
5	32	NaN	24.8	3		
5	32	NaN	25.8	6		
2	32	NaN	17.5	4		
11	32	NaN	28.9	9		
2	32	NaN	25.6	2		
2	32	NaN	18.5	4		
11	32	NaN	24.2	4		
11	32	NaN	14	2		
5	32	NaN	17	1		
11	32	NaN	16.3	9		
2	32	NaN	29	2		
2	32	NaN	33	4		
11	32	NaN	24.7	3		
11	32	NaN	13.4	2		
2	32	NaN	36.4	2		
2	32	NaN	23.1	3		
11	32	NaN	14.9	4		
5	32	NaN	29.3	1		
11	32	NaN	17.3	4		
2	32	NaN	34.5	5		
11	32	NaN	19.2	7		
11	32	NaN	17	5		
11	32	NaN	14.5	6		
11	32	NaN	27.5	2		
2	32	NaN	19.6	1		
5	32	NaN	28.1	4		
5	32	NaN	30.9	2		
5	32	NaN	20.5	3		
5	32	NaN	17.2	1		
2	32	NaN	29.7	1		
5	32	NaN	26	2		
11	32	NaN	10.6	1		
11	32	NaN	19.8	6		
2	32	NaN	23.8	3		
11	32	NaN	21.1	8		
5	32	NaN	18.9	2		
11	32	NaN	20.7	11		
2	32	NaN	26.9	4		
11	32	NaN	18.4	7		
2	32	NaN	25.3	2		
2	32	NaN	18.5	1		
5	32	NaN	24.6	5		
11	32	NaN	16.7	4		
11	32	NaN	24.5	7		
2	32	NaN	35.8	1		
11	32	NaN	16.7	4		
11	32	NaN	17.9	5		
5	32	NaN	29.5	2		
2	32	NaN	10.2	3		
2	32	NaN	35.2	1		
11	32	NaN	18.8	8		
11	32	NaN	17.9	1		
5	32	NaN	32.1	2		
5	32	NaN	28.8	8		
11	32	NaN	15.5	4		
5	32	NaN	27.5	1		
11	32	NaN	18.8	9		
11	32	NaN	24.9	5		
5	32	NaN	30.8	4		
5	32	NaN	29.9	2		
5	32	NaN	30.5	4		
11	32	NaN	25.8	8		
2	32	NaN	24.5	1		
11	32	NaN	19.3	6		
11	32	NaN	28.3	5		
5	32	NaN	23.2	2		
2	32	NaN	23.5	1		
2	32	NaN	34.1	3		
11	32	NaN	24.9	4		
2	32	NaN	28.1	2		
11	32	NaN	28.9	5		
11	32	NaN	27.5	9		
11	32	NaN	19	4		
5	32	NaN	26.2	5		
5	32	NaN	30	7		
2	32	NaN	13.8	1		
5	32	NaN	24.8	2		
5	32	NaN	21.3	2		
11	32	NaN	19.9	9		
5	32	NaN	27.4	2		
5	32	NaN	32.7	4		
11	32	NaN	22.6	6		
2	32	NaN	23.1	4		
11	32	NaN	24.1	10		
2	32	NaN	28.2	2		
11	32	NaN	14.4	4		
5	32	NaN	20.5	2		
5	32	NaN	30.8	1		
2	32	NaN	20.5	3		
5	32	NaN	31.4	2		
2	32	NaN	23.1	3		
5	32	NaN	32.4	1		
2	32	NaN	23.8	2		
11	32	NaN	19.9	8		
2	32	NaN	27.8	2		
11	32	NaN	16.4	3		
11	32	NaN	18.2	5		
5	32	NaN	22.2	1		
11	32	NaN	23.5	9		
11	32	NaN	15.8	5		
11	32	NaN	24.4	5		
11	32	NaN	16.2	2		
11	32	NaN	20.4	6		
11	32	NaN	19.4	4		
2	32	NaN	24.1	2		
2	32	NaN	27.5	2		
11	32	NaN	17.3	6		
5	32	NaN	17.6	2		
11	32	NaN	15.2	4		
11	32	NaN	17	5		
5	32	NaN	29.4	5		
2	32	NaN	25.8	1		
2	32	NaN	23.5	1		
11	32	NaN	22	4		
11	32	NaN	16.8	6		
11	32	NaN	17.6	5		
5	32	NaN	25.1	3		
2	32	NaN	28.9	1		
2	32	NaN	20	1		
11	32	NaN	19.5	7		
11	32	NaN	20.2	11		
5	32	NaN	20.5	1		
11	32	NaN	18.2	5		
5	32	NaN	30.4	6		
5	32	NaN	23.6	1		
2	32	NaN	24.1	3		
11	32	NaN	23	4		
2	32	NaN	27	4		
5	32	NaN	29.3	1		
5	32	NaN	26.3	3		
5	32	NaN	29	3		
2	32	NaN	17.4	2		
11	32	NaN	23.5	5		
5	32	NaN	20.5	4		
5	32	NaN	22.7	3		
11	32	NaN	23.3	5		
5	32	NaN	25.7	4		
5	32	NaN	26.4	3		
2	32	NaN	24	4		
11	32	NaN	16	3		
5	32	NaN	18.5	1		
11	32	NaN	14.1	3		
11	32	NaN	20.9	7		
11	32	NaN	30.3	9		
5	32	NaN	32.2	3		
5	32	NaN	26.7	1		
5	32	NaN	29.1	1		
2	32	NaN	38.8	2		
11	32	NaN	22.5	13		
2	32	NaN	38.1	1		
5	32	NaN	25.5	4		
11	32	NaN	21.5	7		
2	32	NaN	27.5	2		
2	32	NaN	27.5	1		
2	32	NaN	30.8	1		
5	32	NaN	31.5	1		
5	32	NaN	29.3	3		
11	32	NaN	22.7	6		
5	32	NaN	28	3		
11	32	NaN	22.8	6		
11	32	NaN	16.5	4		
2	32	NaN	23	3		
2	32	NaN	25.7	4		
5	32	NaN	25.3	5		
2	32	NaN	23.9	2		
11	32	NaN	18.1	4		
5	32	NaN	24	5		
5	32	NaN	21.5	2		
5	32	NaN	20	3		
2	32	NaN	32	2		
5	32	NaN	20.3	5		
2	32	NaN	20.2	1		
11	32	NaN	15.8	4		
5	32	NaN	28	3		
5	32	NaN	35.1	3		
5	32	NaN	26	3		
2	32	NaN	21.4	1		
5	32	NaN	34.1	4		
5	32	NaN	26.6	2		
5	32	NaN	32	4		
2	32	NaN	14.6	1		
5	32	NaN	23.4	2		
11	32	NaN	14.3	9		
11	32	NaN	18	4		
2	32	NaN	27.5	3		
2	32	NaN	24.5	3		
2	32	NaN	39.3	3		
2	32	NaN	17.3	3		
5	32	NaN	29.2	6		
2	32	NaN	29.5	1		
11	32	NaN	16.5	1		
5	32	NaN	38	5		
5	32	NaN	27.8	2		
5	32	NaN	25.5	3		
5	32	NaN	31	6		
5	32	NaN	30.7	1		
11	32	NaN	23.2	7		
2	32	NaN	27.6	1		
2	32	NaN	23.9	4		
2	32	NaN	29.2	2		
2	32	NaN	25.4	1		
2	32	NaN	28.3	6		
2	32	NaN	36	2		
2	32	NaN	16.6	5		
2	32	NaN	29.5	2		
2	32	NaN	27.1	3		
2	32	NaN	23.4	2		
5	32	NaN	31.2	1		
2	32	NaN	21.4	3		
5	32	NaN	26.6	3		
5	32	NaN	31.4	3		
11	32	NaN	20.9	4		
2	32	NaN	29.1	2		
2	32	NaN	30.1	4		
11	32	NaN	19.4	6		
11	32	NaN	25.5	4		
2	32	NaN	28.2	2		
5	32	NaN	34.5	2		
5	32	NaN	27.7	4		
5	32	NaN	31.1	3		
2	32	NaN	25.4	4		
2	32	NaN	26.6	3		
11	32	NaN	16	6		
5	32	NaN	22.4	6		
2	32	NaN	31.2	2		
2	32	NaN	28.1	1		
5	32	NaN	21.3	6		
5	32	NaN	27.1	3		
2	32	NaN	23.2	4		
2	32	NaN	25.3	2		
5	32	NaN	24.5	4		
2	32	NaN	36.3	1		
5	32	NaN	23.8	5		
5	32	NaN	22.5	1		
2	32	NaN	22.2	1		
11	32	NaN	16.6	4		
11	32	NaN	14.6	4		
11	32	NaN	15.7	1		
11	32	NaN	22.8	4		
11	32	NaN	22.7	9		
2	32	NaN	22.3	2		
2	32	NaN	21.4	1		
11	32	NaN	13.8	2		
2	32	NaN	25.3	5		
2	32	NaN	26.6	5		
5	32	NaN	25.7	4		
11	32	NaN	17.5	16		
11	32	NaN	18.6	4		
11	32	NaN	21.9	7		
2	32	NaN	22.4	2		
11	32	NaN	21.2	6		
2	32	NaN	26.3	2		
5	32	NaN	20.2	2		
5	32	NaN	21.6	1		
5	32	NaN	21.2	1		
5	32	NaN	23.3	2		
2	32	NaN	28.4	2		
11	32	NaN	23.6	5		
